"key","riskFactor.kcd","disease.kcd","pValue","RR","age","sex"
"C79 (interacts with) A41","C79","A41",1.03849395294462e-06,4.96194702164851,12,1
"C79 (interacts with) C18","C79","C18",1.2038432361887e-07,4.86162361623616,10,2
"C79 (interacts with) C77","C79","C77",4.32013502289142e-14,8.63696655132641,10,2
"C79 (interacts with) C78","C79","C78",2.97749968885243e-47,22.5005411255411,9,2
"C79 (interacts with) D63","C79","D63",8.80932271389966e-13,9.73991557223265,9,2
"C79 (interacts with) E44","C79","E44",9.30490412851852e-06,4.16659132007233,12,1
"C79 (interacts with) J90","C79","J90",1.3045087284635e-10,8.86876766384045,9,2
"C79 (interacts with) L89","C79","L89",5.28459343351464e-11,5.64803059273423,12,1
"C79 (interacts with) Z51","C79","Z51",1.54608952711704e-12,8.32229006105495,9,2
"D12 (interacts with) E44","D12","E44",4.2585275834773e-06,4.04343169919086,15,2
"D12 (interacts with) I45","D12","I45",2.65329695148815e-06,4.97193426042984,9,1
"D12 (interacts with) K13","D12","K13",1.64398672672436e-06,4.34740486401003,10,1
"D12 (interacts with) K60","D12","K60",6.28701907085212e-07,4.24620060790274,13,2
"D12 (interacts with) L53","D12","L53",5.73372777207939e-07,4.25959984230238,9,1
"D12 (interacts with) M15","D12","M15",2.09159320485557e-06,4.41099450274863,6,1
"D12 (interacts with) N94","D12","N94",1.9802111332468e-09,7.10247965904688,11,2
"D12 (interacts with) T21","D12","T21",7.71880292093604e-09,4.99607843137255,12,2
"D13 (interacts with) C22","D13","C22",5.78637061528276e-06,4.00755786490316,15,2
"D13 (interacts with) D34","D13","D34",5.5430295360386e-06,4.28332270408163,13,1
"D13 (interacts with) G93","D13","G93",1.88736155718671e-06,4.97725586754423,9,1
"D13 (interacts with) I95","D13","I95",2.03222226069424e-10,7.02623371858375,10,1
"D17 (interacts with) D21","D17","D21",1.56763791184218e-09,4.22462066235651,7,1
"D17 (interacts with) S03","D17","S03",2.02747064725259e-06,4.24121166791324,11,1
"D21 (interacts with) H34","D21","H34",2.22828017900416e-05,4.02148524121618,12,2
"D21 (interacts with) I74","D21","I74",1.57275078332916e-07,4.13941778411449,13,2
"D21 (interacts with) L60","D21","L60",1.61700580250441e-05,4.00031859816806,14,1
"D21 (interacts with) R22","D21","R22",2.7969761899995e-07,5.52333018769005,6,2
"D21 (interacts with) T16","D21","T16",4.14629401042315e-06,4.51347091932458,4,1
"D23 (interacts with) B07","D23","B07",1.20077779086158e-09,4.53436697610113,12,1
"D23 (interacts with) G50","D23","G50",6.73598381579569e-06,4.24213137187821,6,1
"D23 (interacts with) H33","D23","H33",3.74644695549893e-05,4.01394335511983,14,2
"D23 (interacts with) H69","D23","H69",2.76032134121189e-06,4.20865849126719,11,1
"D23 (interacts with) L91","D23","L91",1.72729449957981e-06,5.11580944221767,13,2
"D24 (interacts with) C50","D24","C50",9.56088653346117e-08,5.68398031711318,13,2
"D24 (interacts with) L63","D24","L63",7.43894759302565e-09,4.0006300388524,12,2
"D24 (interacts with) N08","D24","N08",6.4123295674317e-07,4.73962684489,7,2
"D24 (interacts with) N60","D24","N60",2.80850221372893e-09,7.50340017436792,14,2
"D24 (interacts with) N63","D24","N63",5.21048063009642e-13,9.04133858267716,4,2
"D24 (interacts with) N64","D24","N64",1.75702665192653e-21,6.65219548499132,14,2
"D24 (interacts with) N91","D24","N91",6.03347233120994e-05,4.07698489911594,11,2
"D25 (interacts with) A53","D25","A53",1.86548829164095e-11,5.76152832674572,6,2
"D27 (interacts with) N83","D27","N83",1.70611386460216e-14,9.87790627392513,11,2
"D34 (interacts with) C73","D34","C73",1.08516064816642e-20,8.8552809602423,7,2
"D34 (interacts with) E03","D34","E03",9.20149659513582e-17,4.17518889579647,5,2
"D34 (interacts with) E04","D34","E04",2.7433231771374e-26,4.08230882714532,7,2
"D34 (interacts with) E83","D34","E83",1.37179044457346e-06,4.56322035054218,7,2
"D34 (interacts with) N60","D34","N60",7.62135228541343e-07,4.2439911706998,13,2
"D34 (interacts with) Z51","D34","Z51",1.18384851490863e-05,4.21826976369225,13,2
"D50 (interacts with) A41","D50","A41",4.06610484078598e-06,4.53037408511792,8,1
"D50 (interacts with) B09","D50","B09",4.33824412727027e-06,4.43095414749963,2,2
"D50 (interacts with) B37","D50","B37",3.45784669611255e-07,5.29119863013699,3,1
"D50 (interacts with) D63","D50","D63",1.33480716453948e-17,4.59804824632033,11,1
"D50 (interacts with) E03","D50","E03",1.08530914075189e-10,4.59199320578452,3,1
"D50 (interacts with) E44","D50","E44",1.14493362588905e-07,6.44045124899275,7,1
"D50 (interacts with) E83","D50","E83",1.41063813757376e-09,5.64356855265946,7,1
"D50 (interacts with) G62","D50","G62",1.00939033693003e-07,4.00893215576074,7,1
"D50 (interacts with) G63","D50","G63",5.19519030026615e-11,4.56166730110392,7,1
"D50 (interacts with) I12","D50","I12",1.96289215020346e-05,4.37968860580326,8,1
